Id,Noun,Article,Category,Image,Audio,AnswerAudio
aerztin,Ärztin,die,people,assets/images/420/people/Aerztin.png,assets/audio/Aerztin.mp3,assets/audio/die Aerztin.mp3
affe,Affe,der,animals,assets/images/420/animals/Affe.png,assets/audio/Affe.mp3,assets/audio/der Affe.mp3
apfel,Apfel,der,food,assets/images/420/food/Apfel.png,assets/audio/Apfel.mp3,assets/audio/der Apfel.mp3
arbeitsbuch,Arbeitsbuch,das,school,assets/images/420/school/Arbeitsbuch.png,assets/audio/Arbeitsbuch.mp3,assets/audio/das Arbeitsbuch.mp3
artischocke,Artischocke,die,food,assets/images/420/food/Artischocke.png,assets/audio/Artischocke.mp3,assets/audio/die Artischocke.mp3
arzt,Arzt,der,people,assets/images/420/people/Arzt.png,assets/audio/Arzt.mp3,assets/audio/der Arzt.mp3
aubergine,Aubergine,die,food,assets/images/420/food/Aubergine.png,assets/audio/Aubergine.mp3,assets/audio/die Aubergine.mp3
banane,Banane,die,food,assets/images/420/food/Banane.png,assets/audio/Banane.mp3,assets/audio/die Banane.mp3
baum,Baum,der,nature,assets/images/420/nature/Baum.png,assets/audio/Baum.mp3,assets/audio/der Baum.mp3
bett,Bett,das,home,assets/images/420/home/Bett.png,assets/audio/Bett.mp3,assets/audio/das Bett.mp3
bleistift,Bleistift,der,school,assets/images/420/school/Bleistift.png,assets/audio/Bleistift.mp3,assets/audio/der Bleistift.mp3
blumenkohl,Blumenkohl,der,food,assets/images/420/food/Blumenkohl.png,assets/audio/Blumenkohl.mp3,assets/audio/der Blumenkohl.mp3
bluse,Bluse,die,clothing,assets/images/420/clothing/Bluse.png,assets/audio/Bluse.mp3,assets/audio/die Bluse.mp3
bohne,Bohne,die,food,assets/images/420/food/Bohne.png,assets/audio/Bohne.mp3,assets/audio/die Bohne.mp3
broetchen,Brötchen,das,food,assets/images/420/food/Broetchen.png,assets/audio/Broetchen.mp3,assets/audio/das Broetchen.mp3
brokkoli,Brokkoli,der,food,assets/images/420/food/Brokkoli.png,assets/audio/Brokkoli.mp3,assets/audio/der Brokkoli.mp3
buch,Buch,das,school,assets/images/420/school/Buch.png,assets/audio/Buch.mp3,assets/audio/das Buch.mp3
cafe,Café,das,places,assets/images/420/places/Cafe.png,assets/audio/Cafe.mp3,assets/audio/das Cafe.mp3
chamaeleon,Chamäleon,das,animals,assets/images/420/animals/Chamaeleon.png,assets/audio/Chamaeleon.mp3,assets/audio/das Chamaeleon.mp3
check-in-schalter,Check-in-Schalter,der,travel,assets/images/420/travel/Check-in-Schalter.png,assets/audio/Check-in-Schalter.mp3,assets/audio/der Check-in-Schalter.mp3
delphin,Delphin,der,animals,assets/images/420/animals/Delphin.png,assets/audio/Delphin.mp3,assets/audio/der Delphin.mp3
eisdiele,Eisdiele,die,places,assets/images/420/places/Eisdiele.png,assets/audio/Eisdiele.mp3,assets/audio/die Eisdiele.mp3
elefant,Elefant,der,animals,assets/images/420/animals/Elefant.png,assets/audio/Elefant.mp3,assets/audio/der Elefant.mp3
ente,Ente,die,animals,assets/images/420/animals/Ente.png,assets/audio/Ente.mp3,assets/audio/die Ente.mp3
essiggurke,Essiggurke,die,food,assets/images/420/food/Essiggurke.png,assets/audio/Essiggurke.mp3,assets/audio/die Essiggurke.mp3
fernseher,Fernseher,der,home,assets/images/420/home/Fernseher.png,assets/audio/Fernseher.mp3,assets/audio/der Fernseher.mp3
fisch,Fisch,der,animals,assets/images/420/animals/Fisch.png,assets/audio/Fisch.mp3,assets/audio/der Fisch.mp3
flasche,Flasche,die,home,assets/images/420/home/Flasche.png,assets/audio/Flasche.mp3,assets/audio/die Flasche.mp3
fleisch,Fleisch,das,food,assets/images/420/food/Fleisch.png,assets/audio/Fleisch.mp3,assets/audio/das Fleisch.mp3
fliege,Fliege,die,clothing,assets/images/420/clothing/Fliege.png,assets/audio/Fliege.mp3,assets/audio/die Fliege.mp3
flughafen,Flughafen,der,places,assets/images/420/places/Flughafen.png,assets/audio/Flughafen.mp3,assets/audio/der Flughafen.mp3
flugticket-01,Flugticket,das,travel,assets/images/420/travel/Flugticket-01.png,assets/audio/Flugticket.mp3,assets/audio/das Flugticket.mp3
flugticket-02,Flugticket,das,travel,assets/images/420/travel/Flugticket-02.png,assets/audio/Flugticket.mp3,assets/audio/das Flugticket.mp3
